timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
8264000,1,0,1,0,0,0,0,0
8768000,1,0,1,0,0,0,0,0
9272000,1,0,1,0,0,0,0,0
9776000,1,0,1,0,0,0,0,0
10280000,1,0,1,0,0,0,0,0
10784000,1,0,1,0,0,0,0,0
11288000,1,0,1,0,0,0,0,0
11792000,1,0,1,0,0,0,0,0
12296000,1,0,1,0,0,0,0,0
12800000,1,0,1,0,0,0,0,0
13304000,1,0,1,0,0,0,0,0
13808000,1,0,1,0,0,0,0,0
14312000,1,0,1,0,0,0,0,0
14816000,1,0,1,0,0,0,0,0
15320000,1,0,1,0,0,0,0,0
15824000,1,0,1,0,0,0,0,0
16328000,1,0,1,0,0,0,0,0
16832000,1,0,1,0,0,0,0,0
17336000,1,0,1,0,0,0,0,0
17840000,1,0,1,0,0,0,0,0
18344000,1,0,1,0,0,0,0,0
18848000,1,0,1,0,0,0,0,0
19352000,1,0,1,0,0,0,0,0
19856000,1,0,1,0,0,0,0,0
20360000,1,0,1,0,0,0,0,0
20864000,1,0,1,0,0,0,0,0
21368000,1,0,1,0,0,0,0,0
21872000,1,0,1,0,0,0,0,0
22376000,1,0,1,0,0,0,0,0
22880000,1,0,1,0,0,0,0,0
23384000,1,0,1,0,0,0,0,0
23888000,1,0,1,0,0,0,0,0
24392000,1,0,1,0,0,0,0,0
24896000,1,0,1,0,0,0,0,0
25400000,1,0,1,0,0,0,0,0
25904000,1,0,1,0,0,0,0,0
26408000,1,0,1,0,0,0,0,0
26912000,1,0,1,0,0,0,0,0
27416000,1,0,1,0,0,0,0,0
27920000,1,0,1,0,0,0,0,0
28424000,1,0,1,0,0,0,0,0
28928000,1,0,1,0,0,0,0,0
29432000,1,0,1,0,0,0,0,0
29936000,1,0,1,0,0,0,0,0
30440000,1,0,1,0,0,0,0,0
30944000,1,0,1,0,0,0,0,0
31448000,1,0,1,0,0,0,0,0
31952000,1,0,1,0,0,0,0,0
32456000,1,0,1,0,0,0,0,0
32960000,1,0,1,0,0,0,0,0
33464000,1,0,1,0,0,0,0,0
33968000,1,0,1,0,0,0,0,0
34472000,1,0,1,0,0,0,0,0
34976000,1,0,1,0,0,0,0,0
35480000,1,0,1,0,0,0,0,0
35984000,1,0,1,0,0,0,0,0
36488000,1,0,1,0,0,0,0,0
36992000,1,0,1,0,0,0,0,0
37496000,1,0,1,0,0,0,0,0
38000000,1,0,1,0,0,0,0,0
38504000,1,0,1,0,0,0,0,0
39008000,1,0,1,0,0,0,0,0
39512000,1,0,1,0,0,0,0,0
40016000,1,0,1,0,0,0,0,0
40520000,1,0,1,0,0,0,0,0
41024000,1,0,1,0,0,0,0,0
41528000,1,0,1,0,0,0,0,0
42032000,1,0,1,0,0,0,0,0
42536000,1,0,1,0,0,0,0,0
43040000,1,0,1,0,0,0,0,0
43544000,1,0,1,0,0,0,0,0
44048000,1,0,1,0,0,0,0,0
44552000,1,0,1,0,0,0,0,0
45056000,1,0,1,0,0,0,0,0
45560000,1,0,1,0,0,0,0,0
46064000,1,0,1,0,0,0,0,0
46568000,1,0,1,0,0,0,0,0
47072000,1,0,1,0,0,0,0,0
47576000,1,0,1,0,0,0,0,0
48080000,1,0,1,0,0,0,0,0
48584000,1,0,1,0,0,0,0,0
49088000,1,0,1,0,0,0,0,0
49592000,1,0,1,0,0,0,0,0
50096000,1,0,1,0,0,0,0,0
50600000,1,0,1,0,0,0,0,0
51104000,1,0,1,0,0,0,0,0
51608000,1,0,1,0,0,0,0,0
52112000,1,0,1,0,0,0,0,0
52616000,1,0,1,0,0,0,0,0
53120000,1,0,1,0,0,0,0,0
53624000,1,0,1,0,0,0,0,0
54128000,1,0,1,0,0,0,0,0
54632000,1,0,1,0,0,0,0,0
55136000,1,0,1,0,0,0,0,0
55640000,1,0,1,0,0,0,0,0
56144000,1,0,1,0,0,0,0,0
56648000,1,0,1,0,0,0,0,0
57152000,1,0,1,0,0,0,0,0
57656000,1,0,1,0,0,0,0,0
58160000,1,0,1,0,0,0,0,0
58664000,1,0,1,0,0,0,0,0
59168000,1,0,1,0,0,0,0,0
59672000,1,0,1,0,0,0,0,0
60176000,1,0,1,0,0,0,0,0
60680000,1,0,1,0,0,0,0,0
61184000,1,0,1,0,0,0,0,0
61688000,1,0,1,0,0,0,0,0
62192000,1,0,1,0,0,0,0,0
62696000,1,0,1,0,0,0,0,0
63200000,1,0,1,0,0,0,0,0
63704000,1,0,1,0,0,0,0,0
64208000,1,0,1,0,0,0,0,0
64712000,1,0,1,0,0,0,0,0
65216000,1,0,1,0,0,0,0,0
65720000,1,0,1,0,0,0,0,0
66224000,1,0,1,0,0,0,0,0
66728000,1,0,1,0,0,0,0,0
67232000,1,0,1,0,0,0,0,0
67740000,1,0,1,0,0,0,0,0
68244000,1,0,1,0,0,0,0,0
68748000,1,0,1,0,0,0,0,0
69252000,1,0,1,0,0,0,0,0
69756000,1,0,1,0,0,0,0,0
70260000,1,0,1,0,0,0,0,0
70764000,1,0,1,0,0,0,0,0
71268000,1,0,1,0,0,0,0,0
71772000,1,0,1,0,0,0,0,0
72280000,1,0,1,0,0,0,0,0
72784000,1,0,1,0,0,0,0,0
73288000,1,0,1,0,0,0,0,0
73792000,1,0,1,0,0,0,0,0
74296000,1,0,1,0,0,0,0,0
74800000,1,0,1,0,0,0,0,0
75304000,1,0,1,0,0,0,0,0
75808000,1,0,1,0,0,0,0,0
76312000,1,0,1,0,0,0,0,0
76816000,1,0,1,0,0,0,0,0
77320000,1,0,1,0,0,0,0,0
77824000,1,0,1,0,0,0,0,0
78328000,1,0,1,0,0,0,0,0
78832000,1,0,1,0,0,0,0,0
79336000,1,0,1,0,0,0,0,0
79840000,1,0,1,0,0,0,0,0
80344000,1,0,1,0,0,0,0,0
80848000,1,0,1,0,0,0,0,0
81352000,1,0,1,0,0,0,0,0
81856000,1,0,1,0,0,0,0,0
82360000,1,0,1,0,0,0,0,0
82864000,1,0,1,0,0,0,0,0
83368000,1,0,1,0,0,0,0,0
83876000,1,0,1,0,0,0,0,0
84380000,1,0,1,0,0,0,0,0
84884000,1,0,1,0,0,0,0,0
85388000,1,0,1,0,0,0,0,0
85892000,1,0,1,0,0,0,0,0
86396000,1,0,1,0,0,0,0,0
86900000,1,0,1,0,0,0,0,0
87404000,1,0,1,0,0,0,0,0
87908000,1,0,1,0,0,0,0,0
88412000,1,0,1,0,0,0,0,0
88916000,1,0,1,0,0,0,0,0
89424000,1,0,1,0,0,0,0,0
89928000,1,0,1,0,0,0,0,0
90432000,1,0,1,0,0,0,0,0
90936000,1,0,1,0,0,0,0,0
91440000,1,0,1,0,0,0,0,0
91944000,1,0,1,0,0,0,0,0
92448000,1,0,1,0,0,0,0,0
92952000,1,0,1,0,0,0,0,0
93456000,1,0,1,0,0,0,0,0
93960000,1,0,1,0,0,0,0,0
94464000,1,0,1,0,0,0,0,0
94968000,1,0,1,0,0,0,0,0
95472000,1,0,1,0,0,0,0,0
95976000,1,0,1,0,0,0,0,0
96480000,1,0,1,0,0,0,0,0
96984000,1,0,1,0,0,0,0,0
97488000,1,0,1,0,0,0,0,0
97992000,1,0,1,0,0,0,0,0
98496000,1,0,1,0,0,0,0,0
99000000,1,0,1,0,0,0,0,0
99504000,1,0,1,0,0,0,0,0
100008000,1,0,1,0,0,0,0,0
100512000,1,0,1,0,0,0,0,0
101016000,1,0,1,0,0,0,0,0
101520000,1,0,1,0,0,0,0,0
102024000,1,0,1,0,0,0,0,0
102532000,1,0,1,0,0,0,0,0
103036000,1,0,1,0,0,0,0,0
103540000,1,0,1,0,0,0,0,0
104044000,1,0,1,0,0,0,0,0
104548000,1,0,1,0,0,0,0,0
105052000,1,0,1,0,0,0,0,0
105556000,1,0,1,0,0,0,0,0
106064000,1,0,1,0,0,0,0,0
106568000,1,0,1,0,0,0,0,0
107072000,1,0,1,0,0,0,0,0
107572000,1,0,1,0,0,0,0,0
108076000,1,0,1,0,0,0,0,0
108580000,1,0,1,0,0,0,0,0
109084000,1,0,1,0,0,0,0,0
109588000,1,0,1,0,0,0,0,0
110092000,1,0,1,0,0,0,0,0
110596000,1,0,1,0,0,0,0,0
111100000,1,0,1,0,0,0,0,0
111604000,1,0,1,0,0,0,0,0
112108000,1,0,1,0,0,0,0,0
112612000,1,0,1,0,0,0,0,0
113116000,1,0,1,0,0,0,0,0
113620000,1,0,1,0,0,0,0,0
114124000,1,0,1,0,0,0,0,0
114628000,1,0,1,0,0,0,0,0
115132000,1,0,1,0,0,0,0,0
115636000,1,0,1,0,0,0,0,0
116140000,1,0,1,0,0,0,0,0
116644000,1,0,1,0,0,0,0,0
